latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,18375;-76,35555;2024-09-23;nominal;2024-09-19;2024-10-03
8,18365;-76,35575;2024-09-23;nominal;2024-09-19;2024-10-03
8,18365;-76,35565;2024-09-23;nominal;2024-09-19;2024-10-03
8,18365;-76,35555;2024-09-23;nominal;2024-09-19;2024-10-03
8,18355;-76,35575;2024-09-23;nominal;2024-09-19;2024-10-03
8,18355;-76,35565;2024-09-23;nominal;2024-09-19;2024-10-03
8,18355;-76,35555;2024-09-23;nominal;2024-09-19;2024-10-03
8,18295;-76,49895;2024-09-23;nominal;2024-09-19;2024-10-03
8,18295;-76,49885;2024-09-23;nominal;2024-09-19;2024-10-03
8,18285;-76,49895;2024-09-23;nominal;2024-09-19;2024-10-03
8,18285;-76,49885;2024-09-23;nominal;2024-09-19;2024-10-03
8,18075;-76,47625;2024-09-23;nominal;2024-09-19;2024-10-03
8,18075;-76,47615;2024-09-23;nominal;2024-09-19;2024-10-03
8,18075;-76,47605;2024-09-23;nominal;2024-09-19;2024-10-03
8,18065;-76,47625;2024-09-23;nominal;2024-09-19;2024-10-03
8,18065;-76,47615;2024-09-23;nominal;2024-09-19;2024-10-03
8,18065;-76,47605;2024-09-23;nominal;2024-09-19;2024-10-03
8,18055;-76,47625;2024-09-23;nominal;2024-09-19;2024-10-03
8,18055;-76,47615;2024-09-23;nominal;2024-09-19;2024-10-03
8,18055;-76,47605;2024-09-23;nominal;2024-09-19;2024-10-03
8,18045;-76,47625;2024-09-23;nominal;2024-09-19;2024-10-03
8,18045;-76,47615;2024-09-23;nominal;2024-09-19;2024-10-03
8,18045;-76,47605;2024-09-23;nominal;2024-09-19;2024-10-03
8,18035;-76,47625;2024-09-23;nominal;2024-09-19;2024-10-03
8,18035;-76,47615;2024-09-23;nominal;2024-09-19;2024-10-03
8,18035;-76,47605;2024-09-23;nominal;2024-09-19;2024-10-03
8,17825;-76,41325;2024-09-23;nominal;2024-09-19;2024-10-03
8,17825;-76,41315;2024-09-23;nominal;2024-09-19;2024-10-03
8,17825;-76,41305;2024-09-23;nominal;2024-09-19;2024-10-03
8,17815;-76,41325;2024-09-23;nominal;2024-09-19;2024-10-03
8,17815;-76,41315;2024-09-23;nominal;2024-09-19;2024-10-03
8,17815;-76,41305;2024-09-23;nominal;2024-09-19;2024-10-03
8,17805;-76,41325;2024-09-23;nominal;2024-09-19;2024-10-03
